PERMDISP
Distance-based test for homogeneity of multivariate dispersions

Resemblance worksheet
Name: cazy.phyl.env.dist.abund
Data type: Distance
Selection: All

Group factor: taxonomy
Number of permutations: 999

Number of groups: 5
Number of samples: 28

DEVIATIONS FROM CENTROID
F: 2.5147  df1: 4  df2: 23
P(perm): 0.286

PAIRWISE COMPARISONS
Groups	      t	P(perm)				
(Actinobacteria,Firmicutes)	0.21704	  0.876				
(Actinobacteria,Proteobacteria)	 1.3162	  0.326				
(Actinobacteria,Bacteroidetes)	 1.2562	  0.394				
(Actinobacteria,Spirochaetes)	 2.3628	   0.11				
(Firmicutes,Proteobacteria)	 1.4597	  0.285				
(Firmicutes,Bacteroidetes)	  1.396	  0.341				
(Firmicutes,Spirochaetes)	 2.0503	   0.15				
(Proteobacteria,Bacteroidetes)	0.15922	  0.908				
(Proteobacteria,Spirochaetes)	 2.3937	 5.7E-2				
(Bacteroidetes,Spirochaetes)	 3.0537	 7.6E-2				

MEANS AND STANDARD ERRORS
Group	Size	Average	     SE
Actinobacteria	   7	 9.1754	0.84293
Firmicutes	   7	  8.907	0.90472
Proteobacteria	   7	 11.166	 1.2554
Bacteroidetes	   5	 10.885	 1.1001
Spirochaetes	   2	 5.2639	      0

Sample	Group	Distance
Actinobacteria_animal	Actinobacteria	  11.038
Actinobacteria_soil	Actinobacteria	  8.6494
Actinobacteria_plant	Actinobacteria	  10.716
Actinobacteria_freshwater	Actinobacteria	  11.882
Actinobacteria_wastewater	Actinobacteria	  9.1346
Actinobacteria_human	Actinobacteria	  5.6834
Actinobacteria_marine	Actinobacteria	   7.125
Firmicutes_animal	Firmicutes	  7.5443
Firmicutes_human	Firmicutes	  12.946
Firmicutes_marine	Firmicutes	  10.608
Firmicutes_plant	Firmicutes	   7.432
Firmicutes_soil	Firmicutes	  6.2051
Firmicutes_wastewater	Firmicutes	   7.425
Firmicutes_freshwater	Firmicutes	  10.189
Proteobacteria_animal	Proteobacteria	  8.0167
Proteobacteria_human	Proteobacteria	  7.7099
Proteobacteria_marine	Proteobacteria	  9.4802
Proteobacteria_plant	Proteobacteria	   17.28
Proteobacteria_soil	Proteobacteria	  12.788
Proteobacteria_wastewater	Proteobacteria	  10.631
Proteobacteria_freshwater	Proteobacteria	  12.255
Bacteroidetes_soil	Bacteroidetes	  14.869
Bacteroidetes_human	Bacteroidetes	   11.48
Bacteroidetes_freshwater	Bacteroidetes	  10.108
Bacteroidetes_wastewater	Bacteroidetes	  9.2645
Bacteroidetes_animal	Bacteroidetes	  8.7063
Spirochaetes_human	Spirochaetes	  5.2639
Spirochaetes_animal	Spirochaetes	  5.2639

